cid,PC1,PC2
aab1-Primary solid Tumor,19.378664,-14.984205
aab4-Primary solid Tumor,6.460954,-7.3251657
aab6-Primary solid Tumor,22.105947,-12.286043
aab8-Primary solid Tumor,14.005742,-25.846882
aab9-Primary solid Tumor,-14.081999,-4.0003667
aaba-Primary solid Tumor,-0.43967468,-15.023941
aabe-Primary solid Tumor,15.20838,-17.581976
aabf-Primary solid Tumor,-17.93954,-11.01227
aabh-Primary solid Tumor,21.72455,-2.6809382
aabi-Primary solid Tumor,31.876036,-8.526688
aabk-Primary solid Tumor,14.693098,25.123123
aabo-Primary solid Tumor,0.4203136,-5.7129545
aabp-Primary solid Tumor,-30.942017,2.8745975
aabr-Primary solid Tumor,-34.640465,-7.361119
aabt-Primary solid Tumor,-32.65556,-4.359916
aabu-Primary solid Tumor,26.862434,-23.182947
aabv-Primary solid Tumor,44.43123,41.861595
aaqa-Primary solid Tumor,60.549404,-26.468143
aaqe-Primary solid Tumor,35.962254,-17.451498
aaqi-Primary solid Tumor,11.82587,-3.4263093
aaqj-Primary solid Tumor,33.55198,-29.785688
aaql-Primary solid Tumor,28.040207,8.645433
aaqm-Primary solid Tumor,2.2998123,153.30988
a9i5-Primary solid Tumor,26.527376,38.88981
a9i7-Primary solid Tumor,-6.9837475,-13.046103
a9i9-Primary solid Tumor,8.59004,9.147413
a9ib-Primary solid Tumor,-2.7525866,-27.675512
a9ic-Primary solid Tumor,13.718235,-23.946962
a9ih-Primary solid Tumor,25.216246,-7.3742385
a9ij-Primary solid Tumor,5.8090434,181.82942
a9il-Primary solid Tumor,-32.63543,137.00108
a9in-Primary solid Tumor,-48.75194,121.576126
a9io-Primary solid Tumor,-17.168106,165.75732
a9ir-Primary solid Tumor,9.227973,183.73016
a9is-Primary solid Tumor,8.8029585,216.32228
a9iu-Primary solid Tumor,25.093277,-18.762833
a9iv-Primary solid Tumor,-21.947794,138.42311
a9ix-Primary solid Tumor,-53.015785,-3.627871
a9iz-Primary solid Tumor,46.705853,-24.07456
a9j0-Primary solid Tumor,32.846516,-26.775978
aaay-Primary solid Tumor,-16.493374,-5.1493645
aaaz-Primary solid Tumor,5.459817,-5.464345
6879-Primary solid Tumor,30.980114,-30.454597
6880-Primary solid Tumor,-6.346626,81.68534
7273-Primary solid Tumor,-72.74177,-3.950572
7276-Primary solid Tumor,-65.711685,-0.98777777
a44g-Primary solid Tumor,32.269207,-31.507223
a44h-Primary solid Tumor,-20.347832,-4.2506356
